epoch, batch, loss, loss_e, e_mae, e/N_mae
    2,    43,        0.0075979,        0.0075979,           2.1356,         0.066739
    2,    44,        0.0021873,        0.0021873,           1.2619,         0.039436
    2,    45,        0.0016737,        0.0016737,           1.1376,         0.035549
    2,    46,        0.0016166,        0.0016166,          0.86213,         0.026941
    2,    47,       0.00070619,       0.00070619,          0.68549,         0.021421
    2,    48,        0.0047163,        0.0047163,           1.6736,         0.052301
    2,    49,        0.0026697,        0.0026697,           1.4484,         0.045262
    2,    50,        0.0037948,        0.0037948,           1.8017,         0.056303
    2,    51,        0.0095874,        0.0095874,           2.9782,         0.093069
    2,    52,        0.0036573,        0.0036573,           1.6289,         0.050904
    2,    53,         0.003677,         0.003677,           1.8418,         0.057555
    2,    54,        0.0092659,        0.0092659,            2.427,         0.075845
    2,    55,        0.0052396,        0.0052396,           2.0214,         0.063168
    2,    56,        0.0014898,        0.0014898,            1.194,         0.037311
    2,    57,         0.002154,         0.002154,           1.2149,         0.037967
    2,    58,         0.002749,         0.002749,           1.1738,         0.036682
    2,    59,        0.0025504,        0.0025504,           1.4378,          0.04493
    2,    60,        0.0029519,        0.0029519,           1.2484,         0.039012
    2,    61,        0.0027705,        0.0027705,            1.267,         0.039594
    2,    62,         0.003301,         0.003301,           1.4697,         0.045929
    2,    63,        0.0014397,        0.0014397,           1.1642,         0.036382
    2,    64,        0.0045281,        0.0045281,           1.8867,         0.058959
    2,    65,       0.00076938,       0.00076938,          0.78592,          0.02456
    2,    66,        0.0093182,        0.0093182,           2.4394,         0.076231
    2,    67,        0.0050831,        0.0050831,           1.7854,         0.055794
    2,    68,       8.3869e-05,       8.3869e-05,          0.23656,        0.0073924
    2,    69,       0.00063554,       0.00063554,          0.64666,         0.020208
    2,    70,        0.0022036,        0.0022036,            1.174,         0.036687
    2,    71,        0.0010625,        0.0010625,          0.97179,         0.030369
    2,    72,        0.0051073,        0.0051073,            1.669,         0.052156
    2,    73,        0.0079063,        0.0079063,           2.4933,         0.077915
    2,    74,        0.0016049,        0.0016049,           1.1807,         0.036897
    2,    75,        0.0023387,        0.0023387,           1.4888,         0.046526
    2,    76,        0.0029293,        0.0029293,            1.441,         0.045031
    2,    77,        0.0044833,        0.0044833,           2.0772,         0.064912
    2,    78,        0.0013691,        0.0013691,          0.91996,         0.028749
    2,    79,        0.0048604,        0.0048604,            2.017,         0.063031
    2,    80,        0.0069027,        0.0069027,           2.1999,         0.068746
    2,    81,        0.0027065,        0.0027065,            1.648,           0.0515
    2,    82,        0.0047255,        0.0047255,           2.0539,         0.064185
    2,    83,       0.00094109,       0.00094109,          0.85005,         0.026564
    2,    84,        0.0039961,        0.0039961,           1.9114,         0.059732
    2,    85,        0.0058094,        0.0058094,           1.9616,         0.061299
    2,    86,        0.0012514,        0.0012514,          0.82304,          0.02572
    2,    87,        0.0089875,        0.0089875,           2.4174,         0.075545
    2,    88,         0.003753,         0.003753,           1.2949,         0.040467
    2,    89,        0.0021879,        0.0021879,           1.3994,         0.043732
    2,    90,        0.0020183,        0.0020183,           1.1824,         0.036951
    2,    91,        0.0015108,        0.0015108,           1.0524,         0.032886
    2,    92,        0.0042753,        0.0042753,           1.8968,         0.059274
    2,    93,        0.0020238,        0.0020238,           1.2702,         0.039693
    2,    94,        0.0034488,        0.0034488,           1.7116,         0.053488
    2,    95,        0.0041994,        0.0041994,           2.0071,         0.062722
    2,    96,        0.0059906,        0.0059906,           2.0722,         0.064757
    2,    97,        0.0033853,        0.0033853,           1.8165,         0.056764
    2,    98,         0.003018,         0.003018,           1.4685,          0.04589
    2,    99,       0.00061461,       0.00061461,          0.72025,         0.022508
    2,   100,        0.0036623,        0.0036623,           1.4856,         0.046424
    2,   101,        0.0034632,        0.0034632,           1.3612,         0.042538
    2,   102,        0.0072265,        0.0072265,           2.3496,         0.073425
    2,   103,         0.000523,         0.000523,          0.67273,         0.021023
    2,   104,              187,              187,           219.83,           6.8698
    2,   105,       0.00060555,       0.00060555,          0.64902,         0.020282
    2,   106,           0.1909,           0.1909,           11.272,          0.35224
    2,   107,         0.079804,         0.079804,           5.7392,          0.17935
    2,   108,         0.019165,         0.019165,           2.8548,         0.089214
    2,   109,           2.5558,           2.5558,           28.439,           0.8887
    2,   110,         0.017077,         0.017077,           2.5187,         0.078711
    2,   111,          0.67408,          0.67408,           14.539,          0.45434
    2,   112,           2.7426,           2.7426,           32.684,           1.0214
    2,   113,          0.67192,          0.67192,           21.977,           0.6868
    2,   114,          0.13936,          0.13936,           10.213,          0.31915
    2,   115,          0.33908,          0.33908,           17.322,          0.54131
    2,   116,          0.24571,          0.24571,           11.346,          0.35457
    2,   117,          0.11409,          0.11409,           9.3731,          0.29291
    2,   118,          0.29925,          0.29925,           17.345,          0.54202
    2,   119,          0.11767,          0.11767,           10.045,          0.31392
    2,   120,           0.1202,           0.1202,           9.3727,           0.2929
    2,   121,         0.044416,         0.044416,           4.2699,          0.13344
    2,   122,          0.14961,          0.14961,           11.548,          0.36089
    2,   123,          0.11099,          0.11099,           8.0818,          0.25256
    2,   124,         0.054736,         0.054736,           6.5286,          0.20402
    2,   125,         0.023311,         0.023311,           4.3715,          0.13661
    2,   126,         0.023902,         0.023902,           4.0535,          0.12667
